zip,dollars,timestamp,date,city,state,latitude,longitude
"",100,"",6/3/14,Nishi-Tokyo-shi Tokyo ,0,"",""
"",25,"",7/6/14,NJ,0,"",""
"",10,"",7/1/14,NJ 07746,0,"",""
"",50,"",6/8/14,nj 08215,0,"",""
"",50,"",5/10/14,NM,0,"",""
"",25,"",7/4/14,NM,0,"",""
00000,10,"",7/4/14,nonononono,0,"",""
"",10,"",7/18/14,North Plainfield,0,"",""
00000,100,"",6/20/14,North Point,0,"",""
00627,20,"",5/14/14,North Shore,0,"",""
00000,200,"",5/8/14,NT,0,"",""
"",100,"",6/21/14,NY,0,"",""
"",100,"",7/2/14,NY,0,"",""
"",100,"",7/3/14,ny,0,"",""
"",50,"",6/19/14,NY,0,"",""
"",50,"",7/4/14,ny,0,"",""
"",35,"",7/2/14,NY,0,"",""
"",25,"",6/28/14,NY,0,"",""
"",25,"",7/4/14,NY,0,"",""
"",25,"",7/4/14,NY,0,"",""
"",25,"",7/4/14,NY,0,"",""
"",10,"",6/12/14,NY,0,"",""
"",10,"",7/3/14,NY,0,"",""
"",10,"",7/4/14,NY,0,"",""
"",10,"",7/4/14,NY,0,"",""
"",10,"",7/4/14,ny,0,"",""
"",25,"",7/3/14,NY 10011,0,"",""
"",10,"",7/4/14,NY 14063,0,"",""
60453,10,"",5/11/14,Oak Lawn,0,41.7143,-87.7516
94642,25,"",7/4/14,Oakland,0,"",""
94610,25,"",7/4/14,Oakland,0,37.8126,-122.2443
64602,10,"",7/4/14,Oakland,0,"",""
02212,10,"",7/2/14,Oakton,0,42.4464,-71.4594
02212,5,"",7/4/14,Oakton,0,42.4464,-71.4594
34480,50,"",5/9/14,ocala,0,29.1056,-82.098
"",100,"",5/9/14,OH,0,"",""
"",25,"",7/3/14,OH,0,"",""
29909,10,"",7/4/14,Okatie,0,32.3301,-80.8435
48868,25,"",7/5/14,Okemos,0,"",""
"",25,"",7/11/14,Olympic Valley,0,"",""
"",100,"",5/12/14,Troutdale,OR,"",""
"",100,"",6/17/14,Troutdale,OR,"",""
"",100,"",7/1/14,Troutdale,OR,"",""
"",100,"",7/30/14,PORTLAND,OR,"",""
